,strike_dip_rakes,source_mechanisms,depths,noise_types,stfs,durations,velocity_model,cluster_assignments,source_mech_cat
0,"[(56.37662134173611, 78.14539557294243, 170.64211356207133), (148.31553844869808, 80.84343399242043, 12.009881068266845)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
1,"[(193.57962748957902, 57.355747814127085, -73.61077990482252), (344.978846378235, 36.11635706880295, -113.77123336850681)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
2,"[(254.74145497196778, 36.393402319319335, 155.58992827545575), (4.809595561895423, 75.80630763010443, 56.13054671584026)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
3,"[(231.73908366489678, 85.16916830439307, 76.21782988710248), (122.79074303470169, 14.588800064954786, 160.46748609761934)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
4,"[(88.86217744271651, 75.28322215124795, 36.877679822678665), (348.0718745457905, 54.519831740968655, 161.82209174362748)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
5,"[(35.58445955614124, 40.95210452969731, 100.96339007569618), (201.1986905309158, 49.94926874885124, 80.6281860022941)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
6,"[(97.70970046986955, 56.66274585913993, -6.801360968574946), (191.459790198668, 84.32184705274607, -146.47670580278307)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
7,"[(327.6722510418548, 55.490643340837, 54.27039273275782), (199.44949020345766, 48.01503240754941, 130.34360805313088)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
8,"[(26.811765217309787, 40.15496795400592, 116.48715011750842), (173.70867739763668, 54.74830403031826, 69.37886695367055)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
9,"[(79.9323461429448, 80.5849946907988, 51.73931025775369), (338.21388321110913, 39.22902254270281, 165.00923509432667)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
10,"[(237.8909942656578, 85.48453004169048, 134.17754628890714), (332.5230692163146, 44.360266688490825, 6.465379209066691)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
11,"[(245.5137915520075, 57.97980487921113, -73.05714633101162), (35.633980955123974, 35.80031548219821, -114.98553385340719)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
12,"[(151.41928142120153, 72.61836288321716, -100.37145913547123), (2.9129322030047122, 20.158400117425852, -60.09594580529675)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
13,"[(141.14312532801588, 50.00313927549926, 89.76601540956278), (321.5071616268226, 39.9974301717573, 90.27888002912597)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
14,"[(117.55460771612147, 66.56807229916983, 129.20398905076485), (233.54426259303222, 44.68391606466722, 34.43725546604149)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
15,"[(112.51634222830171, 45.41795927119119, 69.85517157099251), (320.1083553304695, 48.03515532322908, 109.26226924585104)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
16,"[(309.53692341235546, 41.14788722074504, -143.84414702310264), (190.7159155194863, 67.15670070963691, -54.795410707294515)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
17,"[(289.36016187937116, 73.66401848407735, 83.21389407522113), (132.2919594331142, 17.653886316565828, 111.95665764247413)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
18,"[(236.0680888438785, 73.34548184868703, -167.3687238247921), (142.39320055921996, 77.90679826779738, -17.043918683610897)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
19,"[(122.21430110074823, 52.58951161481607, -142.29916783824163), (7.061434630253737, 60.93856481536056, -44.02924028355022)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
20,"[(236.36300047813586, 56.77030185696967, -71.18048654689127), (24.484871200810606, 37.64955057145097, -116.21605081980451)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
21,"[(317.0336396658621, 63.0476015401134, 86.90422767860191), (143.83828363153904, 27.116376797299452, 96.06260459903493)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
22,"[(65.17985301296162, 50.32016273152322, -54.318365300520995), (196.82219399151177, 51.30730617019481, -125.10984440858647)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
23,"[(92.99285078843731, 58.38887576696426, -27.448428450259335), (198.2228618328791, 66.88632409347129, -145.2568704045636)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
24,"[(73.832979707457, 87.19738470233683, -113.22441179338803), (337.33231739780507, 23.383603713680383, -7.076688851137297)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
25,"[(115.16949648444688, 87.37612469395532, 128.03630364995814), (208.51852955446603, 38.11302381358519, 4.2535750226246885)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
26,"[(244.08403953352212, 60.95562547334482, -19.371907027711078), (343.77102706226964, 73.14291120838064, -149.51689066535855)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
27,"[(164.4666241618574, 71.3499360050438, 71.97649560991243), (29.962693196253657, 25.710738106502856, 132.51254644431432)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
28,"[(163.12948761823222, 81.74269551830496, 101.31792248295143), (288.7917102201973, 13.978128399346597, 36.48184342158904)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
29,"[(253.37763178048206, 53.4249443322716, -49.87810831765223), (18.640852242097623, 52.11394905075703, -130.9741956646616)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
30,"[(253.12483489726228, 85.33296106962241, 127.57721708049498), (349.16096052000114, 37.823417365617296, 7.624656621460358)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,2,0
31,"[(141.1115494689192, 48.993879728454296, 38.79184612935952), (23.304560175366106, 61.78533745268754, 131.8741596155682)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
32,"[(47.015814702007155, 77.23301925924672, 48.37257084019388), (303.0516815258066, 43.19736451005972, 161.16540252619518)]",DC,20000,,,0.0,crust2_m5_hardtop_16Hz,0,0
