,strike_dip_rakes,source_mechanisms,depths,noise_types,stfs,durations,velocity_model,cluster_assignments,source_mech_cat
0,"[(271.5829160543557, 86.09779985637239, -129.22169999216857), (176.81676317197585, 39.38415871802276, -6.1569659285490035)]",DC,20000,,lognorm,2,crust2_m5_hardtop_16Hz,1,0
1,"[(114.46057415177341, 51.75364529916137, -100.89273747352438), (311.7291378375071, 39.537662860552174, -76.51835811852436)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
2,"[(82.00894573456573, 74.54167056313881, 40.83805414171818), (339.0356093354141, 50.93015593159365, 159.92140823518542)]",DC,20000,,lognorm,8,crust2_m5_hardtop_16Hz,1,0
3,"[(98.4145438605418, 50.83112357876567, 5.47698488469632), (4.948892386012248, 85.75634600314115, 140.70268275522824)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
4,"[(53.88227147620436, 69.95127552029771, 88.07624430421417), (239.47809711092543, 20.137027722577262, 95.25574117102994)]",DC,20000,,lognorm,4,crust2_m5_hardtop_16Hz,1,0
5,"[(203.0324691215046, 87.70986514017731, -97.99971277373918), (97.15996404175938, 8.31901399035087, -16.032662360075545)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
6,"[(261.542409335504, 80.41098532598454, 145.83921073324305), (357.9917966149703, 56.38072615284563, 11.539254714688598)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
7,"[(47.47790754374658, 81.77477695481926, -18.521010244266794), (140.22182858070377, 71.67632106705956, -171.33215158722155)]",DC,20000,,lognorm,6,crust2_m5_hardtop_16Hz,1,0
8,"[(345.5257578858312, 67.51627018008797, -96.68227192483877), (182.5588384160484, 23.40625870605256, -74.29656759932632)]",DC,20000,,lognorm,1,crust2_m5_hardtop_16Hz,1,0
9,"[(53.32534087647511, 88.91856029067873, 137.73177121419945), (144.30812491030537, 47.74104658579423, 1.4612534343793484)]",DC,20000,,lognorm,9,crust2_m5_hardtop_16Hz,1,0
10,"[(217.710973420681, 55.213382048764316, -32.27126267697384), (327.52346773093643, 63.99140402399909, -140.59410012034311)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
11,"[(297.52419789706454, 59.58358004289975, -63.60038670191581), (73.08903783303172, 39.42682690753704, -127.13863661841472)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
12,"[(217.6614016517128, 88.8129042715063, 66.96659605654094), (124.87171265311369, 23.06231009260133, 176.96842496346636)]",DC,20000,,lognorm,5,crust2_m5_hardtop_16Hz,1,0
13,"[(274.9178330896242, 81.2693957464119, 37.57629428046941), (178.25626156455593, 52.9327980916666, 169.03388469002394)]",DC,20000,,lognorm,3,crust2_m5_hardtop_16Hz,1,0
